smiles,output,n_atom
COC1C2CC1(C2)C#C,-2.965988,19
COC1CC2(C)CC12,-2.9768049999999997,20
CCCC(O)CCC=O,-3.385155,23
CCCC1=CCOC1C,-3.4667909999999997,23
CC1(O)C2COC12C,-2.691777,18
NC(=O)CCOCC#C,-2.772753,18
ON=C1C=CC2CC12,-2.392839,15
COCCN=COC=O,-2.692364,18
CC(C=O)N1CC2CC12,-3.027818,20
CC(=N)OC1CCCC1,-3.298172,22
CC1(C)C2OC2C11CO1,-2.911843,19
CC(=O)C1=CNC=C1C,-2.9379239999999998,18
O=CN1CC1(C#C)C#C,-2.387915,14
CCC1=C(N=NO1)C#C,-2.440524,15
COC1C2CC1C1OC21,-2.90896,19
CC(O)(C#C)C#CC=O,-2.5090529999999998,15
ON=C1CNC1,-1.6888619999999999,12
O=C1OC2CC1C=CC2,-2.838342,17
CC1C=CC(C)N1C=O,-3.113285,20
CCC(C)(O)C1CC1,-3.208656,22
O=C1C2CC1OCC2,-2.525175,16
OC1C2C3OC1C23O,-2.177552,14
CNC(=O)C1OCC=C1,-2.817909,18
OCC1CC2CC12O,-2.697622,18
C#CC1COCCN1,-2.587684,17
COC1=CN(C)N=N1,-2.244349,15
CCCC(C)(C)NC=O,-3.507652,24
CC1CN2CCOC2=N1,-2.9083,19
CC(C#N)C1=CON=C1,-2.497962,15
CCC(=O)NC(=O)C=O,-2.551654,16
OCC1CC2CC3C2N13,-3.0375,20
CC12CCC3C(O1)C23,-2.795088,18
CN1C2CC(=NO)C12C,-2.800176,19
CCCC1=CC(=O)CC1,-3.302347,21
CC12CC(CN1)OC2=N,-2.9116400000000002,19
C1CC23OC=NC2C3O1,-2.5773349999999997,16
CCC(O)C1CC1(C)C,-3.653111,25
O=CN1C(=O)C=CC1=O,-2.187046,12
CCCCCCOC=O,-3.3934800000000003,23
OCC1CN=C(O1)C#C,-2.565813,16
CC(CC(N)=O)N1CC1,-3.091185,21
CNC1=CN=C(NC)O1,-2.716855,18
C1OC1C12C3C4C3C1C24,-2.717625,17
NC1=NC(=O)C=C(O)N1,-2.293299,14
CC(C)C(O)C(N)=O,-2.793069,19
CC(O)C1=NC=C(C)N1,-2.938754,19
CC1C2CC1N(C2)C=O,-3.081358,20
N#CCC12CC1OCC2,-2.879678,18
CC1C(O)CC1NC=O,-3.003258,20
CC1(O)CCC(C1)C=O,-3.208232,21
CCC(NC(C)C)C#N,-3.382353,23
OC1=CC(=N)C=C(O)O1,-2.339972,14
CCNC(=O)NC=O,-2.41432,16
N#CC#CC1=CCOC1,-2.458721,14
OCC1OC1C1CCO1,-2.834965,19
OCC1CC2CCC2=C1,-3.239173,21
CN1CC11CNC1=O,-2.423238,16
C1OC1C1CCOC1,-2.704984,18
CC1OCC=CC(=N)O1,-2.800766,18
CC1C2CC3OCC1C23,-3.239761,21
C1OC23CC4OC2CC134,-2.661003,17
CC1OCOC1CO,-2.645606,18
CCC1CCN1C(C)=O,-3.291144,22
O=C(C#C)C#CC1CO1,-2.280491,13
N=C1NC2(COC12)C=O,-2.367371,15
N#CCNC1=CC=NN1,-2.421478,15
O=C1C2C3CCC1C23,-2.623758,16
OC1=C(O)N2CCC2=N1,-2.399854,15
C1C2C=CC1C1OC21,-2.600826,16
N#CC12CC1C1CN2C1,-2.726139,17
CCC1(NC1C=O)C#N,-2.689626,17
OC1C=C(C#C)C2CC12,-2.8242659999999997,17
COCCC12CCC1N2,-3.214787,22
OC1C=CC2(CC2)C1=O,-2.786247,17
O=C1CNC2CC2C1=O,-2.593774,16
CC1(O)CCC2OCC12,-3.179488,21
CC1N2CC1(C2)C(C)=O,-3.01575,20
CC1CC11OCC2OC12,-2.93752,19
CC#CC12OC1CC2C,-2.9964079999999997,19
CC#CCC(C)C(C)C,-3.725656,25
COCC1=COC(=O)O1,-2.429364,15
O=C1CC2C(OC12)C#N,-2.373626,14
OCC1=CNC=C1C#N,-2.54409,15
OCC12NC1CN1CC21,-2.83764,19
FC(F)(F)C1OCC=C1,-2.226552,14
O=CC1CC2OC12C#C,-2.504901,15
CCNC(=O)C(C)(C)O,-3.23231,22
CCOCC1=NON=C1,-2.547438,17
OC1=NN2N=COC2=N1,-1.834404,11
C1C2C3CC1CCCC23,-3.563232,23
O=C1NCC2CC1C=C2,-2.929081,18
CC1C2C3C(O)C3CN12,-3.013829,20
CC(C)N1C=CNC1=O,-2.950503,19
CCC1(C)NC(C)C1=O,-3.278651,22
O=CC1(CCN1)C#N,-2.2441079999999998,14
OCCC1C2CC1CC2,-3.448149,23
OCC1CN1C1COC1,-2.915439,20
NC1=NON=CC1=N,-1.810659,12
CC1CCN(C1)C(N)=O,-3.1447599999999998,21
CCC12CC1(O)CC2,-2.991075,20
CN1N=NC=C1OC=N,-2.30426,15
OC1C2CCN3CC3C12,-3.028828,20
OC(C=O)C1CC1C#N,-2.6012589999999998,16
C#CC#CC1=CC=CN1,-2.539886,14
CC12OC1COCC2O,-2.876022,19
CC1C2OC1C2NC=O,-2.740217,18
CC1(C)OC2C3NC3C12,-3.00169,20
OCCC1C2OC2C1O,-2.843577,19
NC(CO)C(=O)OC=N,-2.53947,17
CC1=CC2C3CC2(C1)O3,-2.976872,19
C#CCCC1=CN=CO1,-2.67263,16
CC1(CC2NC12)OC=O,-2.764743,18
OC1CCC2=C1CCC2,-3.286959,21
CC12CCN1C2CCO,-3.227694,22
CCC(O)C1=CC=NO1,-2.7830209999999997,18
NC(=O)C12CC=CC1O2,-2.61926,16
COC(=N)C(CO)C#C,-2.757022,18
O=C1CC(C1)C#CC#N,-2.464064,14
O=CC(=O)N1C=CC=N1,-2.239039,13
O=C1CC2C3NC=C1C23,-2.6442930000000002,16
CC12CC(CO)(O1)C=C2,-2.940006,19
CC12C=CCC1C1OC21,-3.033279,19
COC1=C(C=O)N=CN1,-2.428458,15
CC1=CC(N)=C(N1)C#C,-2.783873,17
CC(O)CC1C(C)C1C,-3.646284,25
OC1C2CCC(C#N)C12,-2.893135,18
CC1=CC2CC1CC2O,-3.282237,21
CCC(=O)C1(CC1)OC,-3.163299,21
O=C1CC(=O)C2CC12,-2.369599,14
OC12CC3CC1(C=O)C23,-2.7350909999999997,17
CC(=O)C1=CNC(O)=N1,-2.475296,15
CC1(O)CC(=O)C1C#C,-2.752513,17
CC1CC2(C1)CCCC2,-3.753088,25
CCC1=COC(O)=N1,-2.386851,15
C1C2C3OCCN2C13,-2.5607759999999997,17
OCC1=CN=CC=N1,-2.285386,14
CCN1C=CC(=N1)C#N,-2.628201,16
COC1C(C)C2COC12,-3.117276,21
CC(C)(C)C(C=O)C#C,-3.243546,21
CC(N)(C#N)C1CCC1,-3.180994,21
C1OC1C12CC1N=CO2,-2.555527,16
C1N2CC3C4COC13C24,-2.7943100000000003,18
NC1(C=CC2OC12)C#N,-2.479971,15
CC1CCCC(C)=CC1,-3.765498,25
COCC(O)C1NC1C,-3.147866,22
NC1=NCCOC1=O,-2.208601,14
OC1CC2CCC1O2,-2.750516,18
CC12C(C#C)C1C1CN21,-2.835666,18
COCC1OCC1CO,-3.041819,21
CCC1=CNC(=O)OC1,-2.839127,18
CC1(OC2CC12O)C=O,-2.652242,17
COCC(O)CCC#C,-3.1241,21
O=C1CCC2OCC12,-2.5436769999999997,16
CC12CCC1OCC2O,-3.170554,21
COC1(C)CC11COC1,-3.11491,21
CC1(C)C=CC2NC12,-2.907199,19
CC12CCC1N2CC#N,-2.942859,19
CC12CC(O)(C#C)C1O2,-2.705395,17
CC1C2OC2C(O)C1=O,-2.700889,17
CC(C=O)C1(O)CC1C,-3.170571,21
CC1C2CC3(C)CN2C13,-3.319706,22
CC(=O)C(CO)CO,-2.66125,18
OC1(CCC11CO1)C#C,-2.70506,17
OC1C2CC1O2,-1.7766449999999998,12
COC(CO)C1CCC1,-3.341871,23
COCC1=CCNC1=O,-2.819916,18
C1COC=NCC#CC1,-2.830181,18
CC1=NON=C1OC=N,-2.173185,14
O=CCNCC#CC#C,-2.601998,16
CC(C)CC1CC1(C)C,-3.939934,27
CC(C#N)C1C2COC12,-2.843782,18
CC12CC3C(C1)C3C=C2,-3.374504,21
OC1CNC(=O)C11CC1,-2.822871,18
CN1CCC(=O)NC1=O,-2.690074,17
C1C2NC2C11COCO1,-2.737991,18
COC1=NON=C1C#N,-1.9713029999999998,12
OCC1=CCNC(=O)C1,-2.83219,18
COC12CC1C=CC2C,-3.2409689999999998,21
NC1=NC(C=O)=NO1,-1.788811,11
CC1CC1C1COC1C,-3.423164,23
CC(C#N)C(O)C(N)=O,-2.662568,17
CC12CC3(C)N1C2C3=O,-2.853282,18
CC1CCCC2COC12,-3.460296,23
CN1C2CNC(=O)CC12,-2.894854,19
CC12CCC(=NO)C1O2,-2.7534229999999997,18
OC1=CC=CC(=O)N1,-2.2217029999999998,13
CC12CC3C1N2C3CO,-3.015351,20
CC#CCC(O)C(C)C,-3.4374029999999998,23
O=CC12COC1C(=O)O2,-2.196695,13
CC12C3C4CC1(O)C2N34,-2.820502,18
CC1=CC2=C(COC2)O1,-2.788124,17
CC1COCCC11CC1,-3.455697,23
CC(C)(C)C(=O)N1CC1,-3.274145,22
CC12C3CC1CC=CC23,-3.3381790000000002,21
O=C1NC=CC(=O)N1,-2.063511,12
CC12CC3C1C3(CO)O2,-2.915822,19
CC#CCC(C=O)C=O,-2.763051,17
CC12CC1C1(CCC1)O2,-3.213654,21
CC(O)COCC(C)=O,-3.093076,21
CC1(C)C2CC(C#C)N12,-3.082932,20
CCC(=O)C1CC1,-2.584372,17
O=C1CNC2CC1C2,-2.634023,17
O=CC1OCC=CC=C1,-2.773546,17
CC1(C)OCC1(N)C#N,-2.890264,19
CCC1CN2N=CC=C12,-2.957904,19
CC1C(C)C11CC2CC12,-3.498725,23
O=C(C#C)C1NC1C#C,-2.380055,14
CCC1C=C(C)C2OC12,-3.252754,21
CC12CC(=O)C1C=CC2,-3.085651,19
OCC1(CN1)C(O)C#C,-2.7258620000000002,18
C#CC12CC(C1)CO2,-2.562799,16
N=C1CCCCC(=O)N1,-2.940862,19
NC1C2OC(=O)C12N,-2.145077,14
CC1CC1C1CC(=O)O1,-2.98577,19
CC12OC3C1C(C=O)C23,-2.697048,17
O=C1CNC2=CC=NN12,-2.343582,14
OC12CN=C3NC1C23,-2.10938,14
CC(O)C1(CN1)C(C)O,-3.167164,22
CC12C3CC1(O)CCN23,-3.050349,20
CCCC(O)CCOC,-3.559006,25
CCCCC1(C)CO1,-3.201894,22
CC1=C(OC(=O)N1)C#C,-2.417601,14
CC12NC3C1NC23C#C,-2.639479,17
N=COC1CC1CC=O,-2.769322,18
CC1C=CC2OCC1O2,-2.987881,19
CC1CC11CC(=O)CO1,-2.978372,19
CC1=CC(F)=NC(=N)O1,-2.310831,14
CN1C=NC=N1,-1.687132,11
OC1CC1(C#N)N1CC1,-2.64788,17
CC1COC1,-1.8678059999999999,13
CC1=CC(=CO1)N1CC1,-2.862967,18
CCC12CC1(OC2)C#C,-2.982335,19
N=C1COC(=N)N1,-1.854523,12
CC(=O)C(N)=NC1CC1,-2.897099,19
C1N=C2OCOC3C1C23,-2.548957,16
COC1=C(N)C=C(C)N1,-2.902513,19
CC12CN=CN1C2CO,-2.8728059999999997,19
CC1N(C)C11CNC1=O,-2.86791,19
FC(F)(F)C#CC1CC1,-2.256917,14
NC(=O)CNCC=O,-2.388941,16
CC1=NC2CC2C(=O)O1,-2.630063,16
OCC1NC1(C=O)C#N,-2.393694,15
CCCC(C)(O)CCO,-3.5786949999999997,25
CC(C)C1=NCC(=O)O1,-2.849925,18
CN1C2COC2C11CC1,-2.993609,20
CC1=CC=C(N)C=C1,-2.785263,17
CC(=N)OCCC#C,-2.605425,17
C(N1CC1)C1=CN=NN1,-2.565088,17
CCC1(CC)CN1C,-3.284717,23
OC1=NN(CC=O)C=C1,-2.429331,15
OC12CC1C(=O)C(=O)C2,-2.51126,15
CC1OCCC1C(C)=O,-3.199498,21
OCC(O)CC1CO1,-2.616672,18
CC(C)C(C)C(N)=O,-3.078542,21
CC(C#C)C(C=O)C#C,-2.801236,17
OC1CC2CC1(O)CO2,-2.908538,19
CN1C(C)=CN=C1C=O,-2.7323,17
OCC12NC1C=CC2O,-2.771973,18
O=C1OC(=NC=C1)C#C,-2.205051,12
CCC1=CC2OCC2C1,-3.254558,21
OCC1NC2COC12,-2.489837,17
CC1C2C(O)C2N2CC12,-3.020809,20
OC1(COC1)C(=O)C=O,-2.38719,15
CC1COC1C(=O)C=O,-2.678051,17
CC#CC(C)(C=O)C=O,-2.765266,17
CCC1(CN1)C1CCO1,-3.224079,22
CCN(C=N)C(=O)NC,-2.94488,20
CN1N=CC=C1NC=O,-2.539701,16
COC(C)(C#N)C(C)C,-3.2859410000000002,22
CC1OC1(CC=O)C=O,-2.686656,17
NCC1=C(N=NO1)C#N,-2.101938,13
CC(O)C1CCOCO1,-3.094433,21
OCC12CC3CC1C23,-2.765124,18
COC(=O)C(C)N1CC1,-2.9808529999999998,20
CC1(CC1)OC(=O)C=O,-2.70156,17
O=CN1CC11CCC=C1,-2.8776669999999998,18
CC1(CO)CC(=O)C=C1,-3.011718,19
COC1(C)COCC1C,-3.36695,23
O=C1NC=NC=C1,-1.870965,11
O=CC1CC11CCCC1,-3.271598,21
CCC1=C(CC)N=NO1,-2.878408,19
CC1=NC2=C(CC=C2)O1,-2.710731,16
NC(=O)N1CC2(CC2)C1,-2.890854,19
OC1=CN(CC#C)N=N1,-2.263504,14
