smiles,output
CN1C2C(=O)C1C2(C)C,-2.994748
N=C1NN=NC(=N1)C#N,-1.812393
CC(C)(C)CC1(C)CO1,-3.64686
CC1C(C#C)N1C=O,-2.38666
C1OC1C1COC2CC12,-2.9293839999999998
ON=C1CC2NC12C=O,-2.324004
CC1OC(=N)CC1(C)C,-3.312487
C1OC2C3CCCC12O3,-2.8468109999999998
C1CC2C3COCC23C1,-3.26755
N=C1OC2CC3C(C2)C13,-2.9082600000000003
NC1=CNC(O)=N1,-1.8654519999999999
CCCC1(CO1)C(C)C,-3.642666
OC1=C(NN=C1)OC=O,-2.139551
OC1CC23CCC2(C1)N3,-3.034026
CC1C2CC(C=C2)C1=O,-3.095578
CC(O)C12CC(C1)C2,-2.974706
CC(=O)CN1C=CC=N1,-2.720034
CC(=O)C1COCCN1,-2.997149
CCN1CC(=O)C(=O)C1,-2.80188
CC1=COC(C=O)=C1N,-2.625999
ON=C1C2C3C4C3C1C24,-2.553848
CC1=NC(N)=COC1=O,-2.449286
CC1OCCCNC1=O,-3.016153
OC1(CCCC1=O)C=O,-2.730019
C1CC2(CC=CC2)O1,-2.810362
CC1=CC(=[NH2+])O[C-]1C=O,-2.632937
N#CC12C=CC3C1NC23,-2.519799
COC12COC1C=CC2,-2.9485159999999997
CC(=O)C(=O)CC#C,-2.326769
O=C1OC2C(CC12)C#N,-2.413537
O=C1C2C3N2C1C31CN1,-2.413566
CC1NC2(COC2)C1=O,-2.756217
CC12CC3C(N1)C23C#N,-2.737134
C1C2OC3CCOCC123,-2.931514
CC(CCCO)C=O,-2.939298
ON=C1CC(=O)N2CC12,-2.370011
OC1C2CC3OC1C23,-2.484928
OC1CC(O)C11CCO1,-2.858875
OC12CC3=CCCC1C23,-3.001306
CC1OC11COCC1=O,-2.680937
CC(CC1(C)CC1)C#C,-3.499818
NC(=O)OC1CCC1=O,-2.5504800000000003
CC1C2C3COC3C12C,-3.190886
CC(C#C)C1=CC=NO1,-2.634321
CC(CC#N)C1CC1C,-3.370411
C#CC12C3C4C(CC14)N23,-2.642667
CC1=C(CO)C=CO1,-2.558048
O=CCC12CNC1CO2,-2.744224
NC1CC(=N)OC1C#N,-2.535161
N=C1ON=NC=NC1=N,-1.855497
O=C(C#C)N1CC(=O)C1,-2.368393
O=C1NC(=O)C=NC=C1,-2.256882
C#CC12NC3C4C1N4C23,-2.441286
CC(NC1COC1)C=O,-2.955217
N#CC1CC2CC2C=C1,-2.977799
CC(=O)C(O)COC=O,-2.639585
CC1C2COC(=O)C1O2,-2.705759
OC(C#C)C1C2CC1C2,-2.969885
CC1=NNC=N1,-1.697591
O=C1C=C2CN3CC1C23,-2.62278
CC(C)C(C)C(C)C=O,-3.673429
CNC1=C(O)N=CN1C,-2.726606
NC1C(OC1=O)C#C,-2.128172
CCCC1CC2OC2C1,-3.456341
CC1C(C)C(C)(C)C1C,-3.945732
CC(C)C1=C(O)N=CO1,-2.828567
CC1(CO)C2OC1C2O,-2.811502
CCC(C)CC(F)(F)F,-2.922448
OC1CN2CC2C(=O)C1,-2.784005
CC1(CC2(O)CC12)C#N,-2.8647039999999997
OCC1=CC2C3C1CN23,-2.824687
C1C23COCOC12CO3,-2.622398
NC(=O)C1CC(CO)C1,-3.010335
CC1OC1(C)CC#N,-2.6396189999999997
CC1C2N1CC(=O)C2=O,-2.5883570000000002
CC1(O)C(O)C2OCC12,-2.856731
CC(C)(CO)CC(N)=O,-3.229669
CC1CC2=NCC(=O)N12,-2.709273
O=CC1OC11CN2CC12,-2.519496
OCCC1C2CC1OC2,-3.14434
OC1C(NC1=N)C=O,-2.15537
NC1=C2CCN2N=N1,-2.117489
CC#CCC1COC1=O,-2.769325
COCC(C)C(C)C#C,-3.413406
OC12COC1CCOC2,-2.873792
N=C1OC2C3COC1C23,-2.586912
OC12C3CC1=CC(=O)C23,-2.49731
CCC(O)(CC)C#N,-2.85646
N=C1NC(=O)CCCO1,-2.648564
CC(CO)C1C2CCC12,-3.425162
NC1=C2CCCN2C=C1,-3.011539
OCCC12OC1C1CC21,-2.890601
CCCC1=CN(C)C=C1,-3.390785
OC1C2NC=NC12C#N,-2.309835
CCC(OC=O)C1CN1,-2.980893
CC12C(CC1O)C2C#C,-3.001266
COCC12CC1OC2,-2.663205
COCC(=N)OC=O,-2.263289
OCC1=CNN=NC1=N,-2.291209
NC1=CC(=CN1)C1CC1,-2.9889989999999997
NC1=CN=C(F)OC1=O,-2.043408
CC1C2C3C2C2(C)C3N12,-3.116656
CC1CC(N)C1(N)C#N,-2.991627
CCC(C#C)N1CC1C,-3.291333
CC1CN2CC2C11CC1,-3.324117
N#CC1=CN=CN=C1,-2.00856
CC1(CC#C)CCCC1,-3.534332
CC1CC2C3CC12CC3,-3.469562
C#CC(OCC#N)C#C,-2.39119
NC1=CC=NC(=O)N1,-2.130087
O=C1OC=C(O1)C1CO1,-2.219159
C1C2OC2C2=C1C=NN2,-2.485626
CC1C(C2CN2)N1C=O,-2.846435
CN1CC2C(C#N)C12,-2.494568
O=C1OCCN2CCC12,-2.797174
C1CN1C1C=CC2NC12,-2.911076
CC12COCCCC1N2,-3.253424
NC1=NCC(N1)C#N,-2.198829
OC1=CNC(=O)C(=O)O1,-2.077763
CC12CC1(C[NH2+]2)C([O-])=O,-2.741732
CCCC1(O)CCC1=O,-3.184449
CC1(CO)N2CCC12C,-3.234427
CCOC(=N)CC1CC1,-3.266783
O=CCC1=NC=NC=N1,-2.358104
CCC(CC(C)O)OC,-3.563628
CCC1C2C=CCC12C,-3.548957
NC1=CC(=N)OC(=O)O1,-2.182179
C1OC1C1C2C=CCN12,-2.820583
NC1=NC=CC(F)=C1N,-2.433672
CC1CC1C(O)CC#N,-3.078948
CC1=C2COC2C(O)C1,-2.937379
CC1OC2C3C4C3C1C24,-3.020928
CC1CC(O)C11COC1,-3.138064
CC1(OC=O)C(O)C1O,-2.596922
CC12C3C4C3C1(C)N24,-2.60935
CCC1(O)COC11CC1,-3.138042
OC1=C(NC=O)C=CN1,-2.455581
C#CCNCC#CC#N,-2.506158
CC(C)C1=CC(C)=CN1,-3.403797
OCC1(CO)OCC1=O,-2.588809
NC1=CC=C(O1)N1CC1,-2.674023
O=C1C=CC2(NC12)C#N,-2.29981
C#CCN1CC(C1)C#C,-2.8580300000000003
CC12CN1C1(C)COC21,-3.005897
OC1C2C3C4C1C2N34,-2.3517289999999997
OC1C2CC3C(O)C3C12,-2.9377050000000002
CC1(CO)OC11COC1,-2.843645
CC1C(O)C=C(C)C1O,-3.192487
CNC1=C(N)C=C(C)O1,-2.9046089999999998
CC(=O)N1C2CC(=O)C12,-2.580365
N#CCCC1=NON=N1,-2.085041
OC1C2OC(OC12)C#N,-2.275047
CC1=C(C)C(O)C2OC12,-2.970799
CC(C#N)C1(O)COC1,-2.787051
N=C1C=NOC(=C1)C#C,-2.223454
O=CNC12CC1COC2,-2.799438
N=COC12CC1OCC2,-2.762767
COC1CC2OC2C1O,-2.8641389999999998
CC1CC2OC(=N)C2N1,-2.895313
CC1OC1C12CCC1O2,-2.9129259999999997
OC12CCC1CN1CC21,-3.043388
CCOC1C2C3CC2C13,-3.173865
CC1CC11OC(=N)C1O,-2.766098
CC12C(O)C1CCC2O,-3.178335
CN(CCCO)CC=O,-3.167502
CC1CC2OC2C1CO,-3.161146
CC(C)N(C=O)C(N)=O,-2.875756
OCC(CO)OC=O,-2.371068
CCC1(C)CCC1C#C,-3.508934
CCNC(=O)NC1CC1,-3.105409
CC(C#C)C1(CN1)C#C,-2.867253
CC12CC1C1CC2CO1,-3.252957
OC1CC(CC1O)C=O,-2.911752
CC1C2N=C(C)OC12C,-3.088168
CC#CC1=NCCCO1,-2.857399
N#CCC1CCO1,-2.186218
CN=C1NC2COC12C,-2.849573
CC1NC11COC1(C)C,-3.239036
O=C1NC2CC1CCC2,-3.143042
CC12NC1C(=O)C2(C)C,-3.058319
CNC1=C(C)N(C)N=N1,-2.795014
CC(CO)C=O,-2.057959
OC1C(O)C1COC=N,-2.667523
CCC1=NON=CC1=O,-2.345574
NC(=O)C1(O)CC(=O)C1,-2.549572
OCCC1=CCCC1O,-3.184834
COC1(C)CCCC1=O,-3.196925
CC(C)OC1CC1C=O,-3.159811
CCC12C3C4CC(C14)N23,-3.082582
O=CC12C3C1C1OC3C21,-2.502192
N#CCC1CC2CC12,-2.706347
C(C#CC1CN1)N1CC1,-2.8702959999999997
CCCC(=O)CCCO,-3.390334
CC12CN3CC1(O)C23,-2.556629
COC1(CCCO1)C#N,-2.802809
CN1C2C3C1=NCC23O,-2.54358
C1NC1C1OC1C1CO1,-2.704479
NC1=C2OCCN2N=N1,-2.296279
CC#CC1(O)CC2CC12,-3.001728
C1C2CCC3CC12CO3,-3.249078
OC1C2C3OC=NC2C13,-2.55754
CC1CN2C3C4CC13C24,-3.061062
CC12CC1(C)C(=O)O2,-2.541386
CCOC1=CC(C)=CO1,-2.990459
CC1C2OC(C)OC12,-2.712763
N=CN1CCCOC1=O,-2.65563
CC12CC1N=CNC2=O,-2.733016
CC12C3CN1C3C2C#N,-2.703626
O=C1NC(=NO1)C1CO1,-2.112923
C1NC1C12COCC1N2,-2.836866
OC(C=O)(C#N)C1CO1,-2.29463
O=C1COC2CC2OC1,-2.663495
CC1CC2OC2C(=N)O1,-2.787728
NC(=O)C1C2CC1C2=O,-2.587538
CC1CCCC(=O)C1O,-3.214606
N=C1N=CNC=NC1=O,-2.14852
CN=C1NC(C=O)C1O,-2.591385
CC1OCC(CO)=C1C,-3.180412
OC1=NN=C(O)C=C1,-2.001047
OC1CC2CC(O)C12O,-2.865339
OCC1C2OC2C1=O,-2.210769
CNC1=C(C)C(O)=CN1,-2.908109
O=C1CN2CC2C2CC12,-2.851051
N#CC12CC3NC1C23,-2.278599
CC(C)(C)C(C)(O)C=O,-3.394108
NC1=C(F)N=CN=C1F,-2.010475
CC1CC1C1CC2CC12,-3.495625
OC1C2C1C1=CCCC21,-3.010823
CCC(OC)C1NC1C,-3.436454
CC1=NC(C=O)=CC=N1,-2.548243
OC1CN=C2NCC12O,-2.575888
CCCN(CC#C)C=O,-3.057075
CN1N=C(N)C=C1C#C,-2.578032
CN1C2CC11COCC21,-2.96684
CC1OC(=O)NC1C#C,-2.610449
OC1CC1C1C2CCC12,-3.202006
C1CC2OCCOCC12,-3.151733
CC(C)(C#N)C(F)(F)F,-2.352789
C#CCC1COCO1,-2.49237
CNC1=CC(CO)=CN1,-2.904878
CC#CC1CC(=O)N1C,-2.864821
CCC1=CN=NOC1=O,-2.38526
CN=C1OC=C(N)O1,-2.163355
CCC1(CC(=O)C1)OC,-3.170334
NC(=O)CC1(CO)CO1,-2.719675
C#CC1COC1,-1.873323
OC1CC2OC(C1)C=C2,-2.988848
OC1C2COC(=N)CC12,-2.783486
OC1C2CC(C2)C1C#N,-2.889926
CC12NC1C1(C)CCC21,-3.303544
OCC1C(O)CC1C=O,-2.882395
O=C1NC2COC(=O)C12,-2.362776
NC(=O)C#CCCC#N,-2.510801
CC1C(C)C2(C)COC12,-3.4297
CCC(O)C1=CC=CN1,-3.113323
OC1=C(C=NN1)N1CC1,-2.480451
CC1CC2C(C)(O)C12O,-3.148669
C1C2N1C13CC21OCC3,-2.769123
OC1=NC2=C(NCC2)O1,-2.419297
CC(C)C1(O)CC1CO,-3.36009
CCC(C)OC(=O)C#C,-2.971172
OC1C2NC1(C#N)C2O,-2.357096
CC(=O)C(C)(C)C1CC1,-3.465122
OCC12CC3C1C3(O)C2,-2.920898
C1NC11CC2(CO2)C=C1,-2.8365
OC1CC2(O)COCC12,-2.883377
CC(NC=O)C(=O)C=O,-2.5461270000000003
CC(C=O)C1OC2CC12,-2.934754
O=C1CC23CCC2C1C3,-2.998528
OC1C=C2C=CC3C1C23,-2.8009779999999997
CC1OC(C1O)C(N)=O,-2.726255
C1OC1C12CC3C(C1)N23,-2.794233
CC(=NO)C1(CN1)C#C,-2.587904
CN1C=NC=C1C1CN1,-2.791906
CC1CC11NCC1=O,-2.608378
OCC1CCC2(CC2)C1,-3.456697
CNC1=CC(=O)OC=C1,-2.641676
O=CC1CCC=C1C#C,-2.853223
CC1OC2COC2C1O,-2.873685
COC1CC2C1N2C=O,-2.739931
CC1=NNC=C1N1CC1,-2.772539
CNC1=CN=CC=N1,-2.386065
CC1=COC=C1N1CC1,-2.860234
NC1=NC(=O)N=CN1,-1.941622
CC1CCC1C(C)(C)O,-3.6565469999999998
C#CC12CC3CCN1C23,-2.894377
CC1OCC11CCC=C1,-3.253748
CC(=O)CC1=NCCO1,-2.823551
OC1CCC2C3CN3C12,-3.029812
CC12CC3C4CC1C4C23,-3.28727
CCC1(COC)CN1C,-3.422513
CC1C(O)C1(C)C,-2.7643139999999997
C1CC2OCCN=C2N1,-2.904143
CC12CCC1(O2)C1CC1,-3.214502
OCC1C(O)C1CO,-2.619435
CC12COC1C(=N)O2,-2.318899
CC1=COC(=C1)C#C,-2.414418
CCN1CC1C(C)O,-2.995686
CC(CN1CC1C)C#C,-3.292514
O=C1CCC2C3C1CN23,-2.858352
OC(C=O)C(F)(F)F,-1.706064
O=C1CC=C(CN1)C#C,-2.689956
N=C1OCC(=O)N2CC12,-2.405294
CC1CCC(CC#N)C1,-3.400776
CC1(O)CC2C(O)C2C1,-3.17741
C#CCC1C2C3CC3C12,-3.024008
O=C1NCC=C2CNC12,-2.691381
CC1OCCC2C1N2C,-3.241383
OC1C(=O)COC1=O,-2.00741
COC1COC1=N,-2.081557
O=C1OCC=C2CCN12,-2.613817
CNC(=O)CCCO,-2.772586
COC(C)C1COC=N1,-2.989621
C1CN1C1C2C3OC3C12,-2.738069
CCC(N)(CC#N)C#C,-2.962423
OC12CC1C1(CO1)C2=O,-2.444021
O=CCN=C1CCCO1,-2.809806
CCN=COCC#CC,-3.026513
NC(=O)C(O)C(N)=O,-2.145274
NC1=COC2=C1CCC2,-2.898983
CC(O)C1OCC1O,-2.627688
CC12C=CC3N1C2C3=O,-2.659751
CCOCCC(O)CC,-3.563799
N=C1NC=CCNC1=O,-2.532338
O=CC1C2CCC12C#C,-2.804281
CCCC1(C)OC2CC12,-3.421932
NC1=NC(F)=NOC1=O,-1.8115869999999998
O=CC1C2C=CC1C=C2,-2.860895
OC1(CCC1=O)C1CC1,-2.964466
N=COC1CC1CC#N,-2.681974
CC1C2CC1C(C)=C2C,-3.52726
OC1COC(=N)C11CN1,-2.590573
CCCC1CC(=O)C1,-3.026248
CC1C2C3NC3C1C2O,-3.016894
CC1CC2C(C1O)N2C,-3.249418
CC12OC1C=CC1CC21,-3.047342
CC1(C=CC2NC12)C#C,-2.9111700000000003
CCC1(C)CCCOC1,-3.672364
CC1C(C)C1C(O)C=O,-3.16856
CCC1CC2=NC=NN12,-2.778961
CC(C)C(NC=O)C=O,-3.026256
CC12COCC3OC1C23,-2.928556
C1C2N3C1C21CC=CC31,-2.849635
CC12OC3CCCC1C23,-3.240533
CC1(O)CC(=O)C11CN1,-2.7690580000000002
C1CC11CCC=C1,-2.658052
CC1CC(C1)C(N)=O,-2.860461
CC#CC#CC1(C)CC1,-3.083003
C1CC2=C(NC=C2)C=C1,-3.015298
CN1C=NC(=O)N=C1N,-2.377536
CC12CC1OCC=CC2,-3.243569
NC(=O)OCC1CC1O,-2.728248
O=CC1=CC2CC2C1=O,-2.600792
OCC12CC(C1)C(O)C2,-3.169348
CC1OCCC1C#C,-2.792297
OC12CC(C1)C21CCO1,-2.914155
CC1CC2(CC12O)C#C,-3.002
CC1(C[NH3+])NC1C([O-])=O,-2.723545
CC(O)C1(CC1N)C#N,-2.8917479999999998
CC12CN3CC(C13)C2=O,-2.831823
CCC(COC)N1CC1,-3.418883
O=C1OCC11CCC=C1,-2.8114179999999998
COC1(C)C=CC2CC12,-3.242207
COC1(C)CC=CCO1,-3.173521
O=C1C2CC1NC(=O)C2,-2.629991
CC1=CC(C=O)C(=O)C1,-2.817565
ON=C1CCCCCC1,-3.25075
O=C1CC2(CCC2)C=C1,-3.082888
C1CC2CCCCC1O2,-3.483106
CC1(CC2CO2)CCO1,-3.132162
NC1=C(NC=N)OC=C1,-2.515038
CC12C3C1N1CC=C2C31,-2.822808
CC1CC(O)C1CO,-2.920465
OC1=C(OC=N1)C1CO1,-2.307127
O=CCCCNCC#N,-2.895056
CC1=CCN2C(C#N)C12,-2.775639
CC1CN(C=O)C(N)=N1,-2.756795
O=CC1=CC(=O)ON=C1,-2.109481
COCC#CCOC=N,-2.723161
N=C1CCC(=O)OCO1,-2.543212
C#CC12NC1CC21CC1,-2.864141
CC1(OCOC1=O)C#C,-2.491537
COCC(C#N)N1CC1,-2.8475729999999997
CC1(C=O)N=CNC1=O,-2.46271
CC(O)CC1(CO1)C=O,-2.878102
O=CNC1=NC=CN=C1,-2.363297
CC12CC3CC1CC23O,-3.242661
CC1(CO)CCOC1=O,-2.940435
CC12CC(C)(O1)C=C2,-2.789874
CCCCN1CC1CO,-3.430524
CN1C2C3NC3C1C2O,-2.8127139999999997
NC1=COC2=C1C=CC2,-2.69379
CC1CCC2(CN12)C=O,-3.076568
CC1COC(=N)NC1=O,-2.666509
CC1=CC(C)(O)C2OC12,-2.97318
NC1=CON=C1CCO,-2.587268
NC(=O)NCC(=O)C=O,-2.374834
CN1N=NC(OC=N)=N1,-2.112019
CC1C2OC1(C=O)C2C,-2.912865
NC(=O)NCCC1CC1,-3.112373
CC(N)C1=NC=NO1,-2.260732
CC12CC(O1)C2N1CC1,-2.9726179999999998
O=CC1=CCOC=NC1,-2.591349
CN1C2C=CC1(C)C2=O,-2.8483400000000003
C1CC2=CCCCC2O1,-3.282623
CC1=C(C)C(C=O)=CN1,-2.932263
CC(O)CC1OC2CC12,-3.131701
NC1=NC(=N)ON=N1,-1.65563
CCCOC12CC1CC2,-3.414313
CCOCC(C)O,-2.68271
CC1OCC=C1C#N,-2.455973
COCC1COCC1C,-3.35914
OC1C2CC1(O2)C1CN1,-2.69201
COCC1(C)CCC=C1,-3.458821
CC(=N)OC(C)(C)CO,-3.197108
CC1(NC11CCC1)C#N,-2.959823
O1C=NC=C2C=NC=C12,-2.313898
COC1C(O)C1(C)O,-2.608739
OC1CCCC2CC12O,-3.180841
CC12CC3C(C1)C3OC2,-3.269422
O=CC1OC2CCC1O2,-2.704671
CC1CCC(C)(O1)C#N,-3.109642
CC#CC#CC1CN1C,-2.86952
NC1=CC(=CO1)C1CC1,-2.881373
OC1C(NC1=O)C#C,-2.126566
OCC(CC#N)N1CC1,-2.870559
CC1C2C3(O)CC3C12C,-3.180383
OCC1=CC(O)C(O)C1,-2.9001669999999997
OC1C2C=CNC(=O)C12,-2.6224689999999997
CC1(CCC(O)C1)C#C,-3.248349
CC12OC(=O)C1(O)C2O,-2.3960179999999998
O=CC#CC1OC1C=O,-2.236436
COCCC1=CN=CO1,-2.801974
CC1N=C(N)OC1(C)C,-3.132071
OCCC1(O)CCCC1,-3.3896800000000002
CC1OC1CC#CC#C,-2.77757
CC(=NO)C1=CN=CN1,-2.50512
CC1CC=CCOC=N1,-3.066714
N=C1OC2C1C21COC1,-2.522688
CCC1=C(N)C(C)=CO1,-3.10289
N#CC1CCCC11CO1,-2.887771
CCC1OCC1COC,-3.335339
CC12CCC1CCC2O,-3.470689
CC1OCC2CCOC12,-3.185825
C1CC23C4C5C4N2C5C13,-2.841248
CC1=CC(CO)=NN1,-2.469273
CCC12CC1C(C2)C=O,-3.241311
CC1=CCC2NC12C#C,-2.918298
CNC1=NN(C)C=C1C,-3.000393
CC1NC2CNC12C#C,-2.890776
CC1C2(CC2)C2OC12C,-3.210719
CC1(O)C=CCC1O,-2.748732
CC12CN1CC2OC=N,-2.8397829999999997
CC1(COC(=O)O1)C=O,-2.465058
CCC(O)(C#N)C1CO1,-2.778968
CC1CC=CC1CCO,-3.469054
CC(=O)OC1=NC=NO1,-2.144308
CN=CNC1=CC=NO1,-2.479958
COC1C2C1C(C)C2C,-3.414105
CC(CO)C(C)C#N,-2.855383
CCC1=CNC=NC1=N,-2.829279
CC#CC12COC1CO2,-2.696167
CCCC(C#C)C(C)O,-3.435155
CC1=CC(=O)NCCN1,-2.930297
CC12CC3C4C1C2(C)N34,-3.118366
CCC(C)NC(C)=O,-3.072956
OC1C2COC12C#C,-2.246448
CCC12CC3C1N3C2C,-3.301872
O=CN1C2COCC12,-2.33832
O=CC1C2NC(=O)OC12,-2.335963
CC1(C)CCNC(=O)O1,-3.051604
C1C2OC3CN1CC23,-2.61661
CC1(C)CC1CCC=O,-3.457888
O=CNC1CN(C1)C=O,-2.626274
CC12CCN1C2CC=O,-3.038169
CN=C1OCC11COC1,-2.746342
O=C1COC(CC#N)C1,-2.62524
CC(C)NC1=CN=NN1,-2.794907
OC12CCC(C1)C=C2,-2.835401
CC1C2OC=NC12C#C,-2.635173
CC12C3CC(C13)N2C=O,-2.836711
CC1C2CC1C1(CC1)C2,-3.523232
OC1CCC(=O)CC1O,-2.930772
OC1CC2OCC1C2O,-2.900591
OC1C2C3C2C2C3C12O,-2.729739
CN(C=O)C(=O)C#C,-2.153685
CC1(O)C2CC1(O)C=C2,-2.952229
CC1=CN=NO1,-1.547809
CC1(CO1)C(O)CC#C,-2.922599
OC1CC=CCC1O,-2.753811
CC(C)(C)C1NC1C#N,-3.170728
CC1C2OC2C2(C)CN12,-3.039693
OCC1=CC=C(N1)C#C,-2.678378
N=C1OC2C1CC21CC1,-2.839146
C1OCC1C1OCCO1,-2.857185
OC12C3CC1C(=O)NC23,-2.593686
COCC1=NN(C)N=C1,-2.689146
O=CC1=CN=CC(=O)O1,-2.1452809999999998
CCC1OCC1C#N,-2.631143
CC(CO)OCC1CC1,-3.344002
CC(O)C(C#C)C1CN1,-3.014965
CC1CC=CC2NC12,-2.911425
C1CC2=NNN=C2C1,-2.358389
CC12CC=CC1C(=N)O2,-2.897188
CN=C1CN=C(CN)N1,-2.817765
CCC1C2C3N2C1C3=O,-2.836427
OCC1(CC1)C1OC1,-2.68605
CC1(CC1C=O)C#C,-2.582721
CN=C1CC2(CC2C)O1,-3.04627
CC(C)C1=CN=NC=N1,-2.800253
CCCC#CC(O)CO,-3.143505
COC(=O)N1C=CN=C1,-2.468353
CC1C=C(CO)NC1=O,-2.83664
CC1CC(C)=CC1=O,-2.865006
CCCCOCCC#N,-3.281277
NC1=NOC2=C1NCC2,-2.4799700000000002
CC1C2CC3(CO3)C12O,-2.920192
OC(C1CC1)C(=O)C#N,-2.5936339999999998
CC1(CC11COC1)C#C,-2.986157
COCC1(C)OC2CC12,-3.115706
CNC(=O)COC1CC1,-2.9819519999999997
CC1COCC=C1C,-3.025774
C1C2C3CC1C23,-2.16662
COC12CC3C(C13)C2C,-3.1983449999999998
C1NC11C2CC3CC1N23,-2.8882909999999997
CC12C(CO)C1C1NC21,-2.978868
CCC1CN(CC)C1=O,-3.295625
CC1C2C3N1C2C3(C)C,-3.274144
CCOC(=N)C#CC,-2.610661
CC1(C)C=CCNC1=O,-3.125584
OC(CC#CC=O)C#C,-2.509577
CCCC1=NC=NN=N1,-2.583264
CC1COC2OC=NC12,-2.822113
COCCC(C)C,-2.963496
OCC(=O)C#N,-1.477022
CC(C#C)C1(C)CN1C,-3.295796
OC1CCC11C2CC1O2,-2.889078
CCCN1CCC(=O)C1,-3.283117
CC1(O)CC(CC#C)C1,-3.222036
OCCC(=O)CC1CN1,-2.969583
CN1N=NC=C1C1CC1,-2.7724349999999998
COC12CCC1(C)CC2,-3.425667
CC1CC(=O)CNC1=O,-2.854228
OCCC(=O)OC1CC1,-2.896087
CC1=C2CC(O)C2OC1,-2.940859
CC(C)NC1=NNC=N1,-2.8316049999999997
CN1N=C(N)C=C1O,-2.280203
NC1=CN=C(O)C(=N)O1,-2.248937
C1C2C3CC4C=CC13C24,-3.102369
NCC1=NC(=N)C=NO1,-2.288138
CC1CC(C)(CCO)C1,-3.651134
CC#CC(C)(O)C(C)=O,-2.969178
CC1=COC2=NC=NN12,-2.328137
O=C1NC(=CCO1)C#C,-2.404019
CC12NC1C(C=C2)=NO,-2.63754
OC(C#N)C1=NC=NO1,-2.021978
COC(CO)C(O)CO,-2.983277
CC#CC1CC2CC2C1,-3.319987
COCC1C2C3CC3C12,-3.154212
CC1(O)CCN2CC12,-2.821434
OCC1(CO1)C(O)C#C,-2.627265
CN(C=O)C1COC1,-2.530504
O=COCC1C2CC1C2,-2.937195
CC1=CC(=O)NCC1O,-2.841419
O=CC1=CCN2CC12,-2.420938
COCC#CC(C)(C)O,-3.1285
CC1(C)CC1CO,-2.762209
CC1=C2CCC2OC1=O,-2.796968
CC1CCC2CC2CC1,-3.747211
OCC1CN=CO1,-2.117225
NC1=NC(=[NH2+])[N-]C(O)=C1,-2.416649
CC1C=CCCCC1=O,-3.286915
CC(C#N)C1=CC=CN1,-2.831712
CCC(CO)C(F)(F)F,-2.630963
CC1CCC(O)C=CC1,-3.470766
CC1N(C)C1(CO)CO,-3.151123
COC(C)COC=O,-2.652049
